ldndc_species_parameter_number,common_name,scientific_name,subfamily,tribe,genus,descriptor,search.text,categor,code,description,unit in words,unit,significant.digits,minimum,maximum,point_estimate,midpoint,references,reference_minimum,reference_maximum,reference_point_estimate
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the relative available soil water content at which drought affects photosynthesis activity as a fraction   () , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",water,H2OREF_A,relative available soil water content at which drought affects photosynthesis activity,a fraction ,,2,0.2,0.7,0.258,0.45,Ripley et al. 2010; Snyman et al. 1997,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the relative available soil water content below which restricted water availability triggers plant senescence as a fraction   () , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",water,H2OREF_SENESCENCE,relative available soil water content below which restricted water availability triggers plant senescence,a fraction ,,2,0.1,0.355,0.25,0.2275,Snyman 2002; Snyman et al. 2013,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the relative available soil water content at which stomata are fully closed as a fraction   () , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",water,H2OREF_GS,relative available soil water content at which stomata are fully closed,a fraction ,,2,0.15,0.33,0.22,0.24,Ripley et al. 2010; Snyman et al. 1997,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the relative available soil water content at which stomata are fully closed as a fraction   () , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",water,H2OREF_FLUSHING,"relative available soil water content below which flushing is affected by water
availability",,,2,0.1,0.3,0.15,0.2,Rahimi et al. 2021,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the relative available soil water content at which stomata are fully closed as a fraction   () , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",water,H2OREF_LEAF_GROWTH,relative available soil water content below which leaf growth is affected,,,2,0.35,0.55,0.45,0.45,Rahimi et al. 2021; AquaCrop 6.1,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the maximum stomatal conductivity  as millimols of h2o per square meter per second  (mmol H?O m?ï¿½ s?ï¿½ï¿½) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",water,GSMAX,maximum stomatal conductivity ,millimols of h2o per square meter per second,mmol H?O m?ï¿½ s?ï¿½ï¿½,1,100,661,661,380.5,Hanan & Prince 1997; Jacob et al. 2025,Jacob et al. 2025,Hanan & Prince 1997,Hanan & Prince 1997
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the minimum stomatal conductivity  as millimols of h2o per square meter per second  (mmol H?O m?ï¿½ s?ï¿½ï¿½) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",water,GSMIN,minimum stomatal conductivity ,millimols of h2o per square meter per second,mmol H?O m?ï¿½ s?ï¿½ï¿½,1,5,25,15,15,Middha et al. 2025,Middha et al. 2025,Middha et al. 2025,Middha et al. 2025
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Biomass fraction of foliage at maturity. as fraction  () , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",biomass,FRACTION_FOLIAGE,Biomass fraction of foliage at maturity.,fraction,,2,0.15,0.4,0.25,0.275,Snyman 2005b,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Biomass fraction of roots at maturity as fraction  () , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",biomass,FRACTION_ROOT,Biomass fraction of roots at maturity,fraction,,2,0.5,0.85,0.767,0.675,Snyman et al. 2013,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Biomass fraction of fruit at maturity. as fraction  () , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",biomass,FRACTION_FRUIT,Biomass fraction of fruit at maturity.,fraction,,2,0,0.1,0.015,0.05,Snyman et al. 2013; Rahimi et al. 2021,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Maximum relative growth rate for foliage as fraction   () , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",biomass,FOLRELGROMAX,Maximum relative growth rate for foliage,fraction ,,2,0.08,0.15,0.1,0.115,KIT L-DNDC doc,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Foliage biomass under optimal, closed canopy condition (kg m-2) as kg per square meter  (kg m^-2) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",biomass,MFOLOPT,"Foliage biomass under optimal, closed canopy condition (kg m-2)",kg per square meter,kg m^-2,2,0.15,0.4,0.25,0.275,Snyman et al. 2013; Rahimi et al. 2021,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Specific interception capacity of foliage  as meters per square meter of LAI  (m m^-2 LAI) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",light & photosynthesis,MWFM,Specific interception capacity of foliage ,meters per square meter of LAI,m m^-2 LAI,5,5.00E-05,0.0005,0.00035,0.000275,Rahimi et al. 2021,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the maximal net photosynthesis as nanomols of CO2 per gram per second  () , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",light & photosynthesis,AMAXB,maximal net photosynthesis,nanomols of CO2 per gram per second,,2,,,,,,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the specific leaf area in the shade as square meters per kilogram  (m^2 kg^-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",light & photosynthesis,SLAMAX,specific leaf area in the shade,square meters per kilogram,m^2 kg^-1,1,15,30,25,22.5,Ripley et al. 2010,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the specific leaf area under full sun as square meters per kilogram  (m^2 kg^-1) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",light & photosynthesis,SLAMIN,specific leaf area under full sun,square meters per kilogram,m^2 kg^-1,1,2.03,19,15.12,10.515,WRC South Africa; Van den Boogaard et al. 1997,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the Time interval necessary to complete growth of new foliage as days  () , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",phenology,NDFLUSH,Time interval necessary to complete growth of new foliage,days,,0,3,24,10,13.5,Taylor & Walker 1986,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the duration of senescence  as days  () , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",phenology,NDMORTA,duration of senescence ,days,,0,40,180,180,110,Grote et al. 2021; Mougin et al. 2019,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the base temperature for growing degree days as   () , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",phenology,GDD_BASE_TEMPERATURE,base temperature for growing degree days,,,0,10,15,15,12.5,Groves 1975; SARE research,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the growing degree days until beginning of emergence as days  (GDD) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",phenology,GDD_EMERG,growing degree days until beginning of emergence,days,GDD,0,10,150,130,80,Groves 1975,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the growing degree days until maturity as days  (GDD) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",phenology,GDD_MATURITY,growing degree days until maturity,days,GDD,0,1000,2500,1800,1750,TandfOnline phenology,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the growing degree days until begin of stem elongation as days  (GDD) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",phenology,GDD_STEM_ELONGATION,growing degree days until begin of stem elongation,days,GDD,0,800,1000,900,900,Hazard et al. 2006; del Prado et al. 2006,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the growing degree days until downwards root growth ceases as growing degree days  (GDD) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",phenology,GDD_ROOTS_GROWN,growing degree days until downwards root growth ceases,growing degree days,GDD,0,1200,1800,1500,1500,TandfOnline research,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the minimum temperature sum for foliage activity onset as growing degree days  (GDD) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",phenology,GDDFOLSTART,minimum temperature sum for foliage activity onset,growing degree days,GDD,0,100,250,150,175,KIT L-DNDC standard,,,
,red oat grass,Themeda triandra,Panicoideae,Andropogonea,themeda,c4 perennial tufted and drought adapted grass,"studies which report the growing degree days to complete foliar production as growing degree days  (GDD) , and the values reported therein, of red oat grass (Themeda triandra) under semi-arid environments. If no data for this species exists, please default first to other species of the genus themeda and then the family Panicoideae and then the tribe Andropogonea.",phenology,GDDFOLEND,growing degree days to complete foliar production,growing degree days,GDD,0,900,1300,1100,1100,LandscapeDNDC standard,,,
,Bermuda grass,Cynodon dactylon,Chloridoideae ,Cynodonteae,cynodon,,"studies which report the Michaelis Menten constant for O2 at 25 degrees C as millimols per mol per mbar  (mmol mol-1 mbar-1) , and the values reported therein, of Bermuda grass (Cynodon dactylon) under semi-arid environments. If no data for this species exists, please default first to other species of the genus cynodon and then the family Chloridoideae  and then the tribe Cynodonteae.",,KO25,Michaelis Menten constant for O2 at 25 degrees C,millimols per mol per mbar,mmol mol-1 mbar-1,2,300,450,450,375,von Caemmerer 2000; Carmo-Silva et al. 2010,,,
,Bermuda grass,Cynodon dactylon,Chloridoideae ,Cynodonteae,cynodon,,"studies which report the Maintenance coefficient at reference temperature as fraction  (0) , and the values reported therein, of Bermuda grass (Cynodon dactylon) under semi-arid environments. If no data for this species exists, please default first to other species of the genus cynodon and then the family Chloridoideae  and then the tribe Cynodonteae.",,KM20,Maintenance coefficient at reference temperature,fraction,0,2,0.01,0.015,0.015,0.0125,Thornley & Cannell 2000,,,
,Bermuda grass,Cynodon dactylon,Chloridoideae ,Cynodonteae,cynodon,,"studies which report the Maximum RubP saturated rate of carboxylation at 25oC for sun leaves as micromols per square meter per second  (umol m^-2 s^-1) , and the values reported therein, of Bermuda grass (Cynodon dactylon) under semi-arid environments. If no data for this species exists, please default first to other species of the genus cynodon and then the family Chloridoideae  and then the tribe Cynodonteae.",,VCMAX,Maximum RubP saturated rate of carboxylation at 25oC for sun leaves,micromols per square meter per second,umol m^-2 s^-1,2,24.4,62.1,60,43.25,Carmo-Silva et al. 2008,,,
,Bermuda grass,Cynodon dactylon,Chloridoideae ,Cynodonteae,cynodon,,"studies which report the Activation energy for electron transport as Joules per mol  (J mol^-1) , and the values reported therein, of Bermuda grass (Cynodon dactylon) under semi-arid environments. If no data for this species exists, please default first to other species of the genus cynodon and then the family Chloridoideae  and then the tribe Cynodonteae.",,AEJM,Activation energy for electron transport,Joules per mol,J mol^-1,0,45000,77900,45000,61450,Massad et al. 2007; Rahimi et al. 2021,,,
,Bermuda grass,Cynodon dactylon,Chloridoideae ,Cynodonteae,cynodon,,"studies which report the Activation energy for Michaelis-Menten constant for CO2 as Joules per mol  (J mol^-1) , and the values reported therein, of Bermuda grass (Cynodon dactylon) under semi-arid environments. If no data for this species exists, please default first to other species of the genus cynodon and then the family Chloridoideae  and then the tribe Cynodonteae.",,AEKC,Activation energy for Michaelis-Menten constant for CO2,Joules per mol,J mol^-1,0,64200,79430,65300,71815,Carmo-Silva et al. 2010; Boyd et al. 2015,,,
,Bermuda grass,Cynodon dactylon,Chloridoideae ,Cynodonteae,cynodon,,"studies which report the Activation energy for Michaelis-Menten constant for O2 as Joules per mol  (J mol^-1) , and the values reported therein, of Bermuda grass (Cynodon dactylon) under semi-arid environments. If no data for this species exists, please default first to other species of the genus cynodon and then the family Chloridoideae  and then the tribe Cynodonteae.",,AEKO,Activation energy for Michaelis-Menten constant for O2,Joules per mol,J mol^-1,0,10500,36380,36380,23440,Yu et al. 2001; Boyd et al. 2015,,,
,Bermuda grass,Cynodon dactylon,Chloridoideae ,Cynodonteae,cynodon,,"studies which report the Activation energy for dark respiration as Joules per mol  (J mol^-1) , and the values reported therein, of Bermuda grass (Cynodon dactylon) under semi-arid environments. If no data for this species exists, please default first to other species of the genus cynodon and then the family Chloridoideae  and then the tribe Cynodonteae.",,AERD,Activation energy for dark respiration,Joules per mol,J mol^-1,0,46390,53300,50100,49845,Rahimi et al. 2021; Atkin et al. 2015,,,
,Bermuda grass,Cynodon dactylon,Chloridoideae ,Cynodonteae,cynodon,,"studies which report the Activation energy for photosynthesis as micromols per mol per mbar  ( ï¿½mol mol^?1 mbar^-1) , and the values reported therein, of Bermuda grass (Cynodon dactylon) under semi-arid environments. If no data for this species exists, please default first to other species of the genus cynodon and then the family Chloridoideae  and then the tribe Cynodonteae.",,AEVC,Activation energy for photosynthesis,micromols per mol per mbar, ï¿½mol mol^?1 mbar^-1,0,50100,78000,65300,64050,Carmo-Silva et al. 2012; Sage 2002,,,
,Bermuda grass,Cynodon dactylon,Chloridoideae ,Cynodonteae,cynodon,,"studies which report the Activation energy for RubP oxygenation as Joules per mol  (J mol-1) , and the values reported therein, of Bermuda grass (Cynodon dactylon) under semi-arid environments. If no data for this species exists, please default first to other species of the genus cynodon and then the family Chloridoideae  and then the tribe Cynodonteae.",,AEVO,Activation energy for RubP oxygenation,Joules per mol,J mol-1,0,37530,37530,37530,37530,Grote et al. 2021,,,
,Bermuda grass,Cynodon dactylon,Chloridoideae ,Cynodonteae,cynodon,,"studies which report the Michaelis Menten constant for CO2 at 25 degrees C as micromols per mol per mbar  (umol mol-1 ubar-1) , and the values reported therein, of Bermuda grass (Cynodon dactylon) under semi-arid environments. If no data for this species exists, please default first to other species of the genus cynodon and then the family Chloridoideae  and then the tribe Cynodonteae.",,KC25,Michaelis Menten constant for CO2 at 25 degrees C,micromols per mol per mbar,umol mol-1 ubar-1,2,626,1210,650,918,von Caemmerer 2000; Carmo-Silva et al. 2010,,,
,Bermuda grass,Cynodon dactylon,Chloridoideae ,Cynodonteae,cynodon,,"studies which report the Curvature parameter for the light response curve as 0  (0) , and the values reported therein, of Bermuda grass (Cynodon dactylon) under semi-arid environments. If no data for this species exists, please default first to other species of the genus cynodon and then the family Chloridoideae  and then the tribe Cynodonteae.",,THETA,Curvature parameter for the light response curve,0,0,2,0.65,0.9,0.7,0.775,Kieffer et al. 2024,,,
,Bermuda grass,Cynodon dactylon,Chloridoideae ,Cynodonteae,cynodon,,"studies which report the Relation between maximum electron transport rate and RubP saturated rate of carboxylation (ï¿½). as micromols per square meter per second  (umol m^-2 s^-1) , and the values reported therein, of Bermuda grass (Cynodon dactylon) under semi-arid environments. If no data for this species exists, please default first to other species of the genus cynodon and then the family Chloridoideae  and then the tribe Cynodonteae.",,QJVC,Relation between maximum electron transport rate and RubP saturated rate of carboxylation (ï¿½).,micromols per square meter per second,umol m^-2 s^-1,2,1.6,4.5,3.5,3.05,Carmo-Silva et al. 2010,,,
,Bermuda grass,Cynodon dactylon,Chloridoideae ,Cynodonteae,cynodon,,"studies which report the Relation between dark respiration rate and RubP saturated rate of carboxyla tion at 25 oC as micromols per square meter per second  (umol m^-2 s^-1) , and the values reported therein, of Bermuda grass (Cynodon dactylon) under semi-arid environments. If no data for this species exists, please default first to other species of the genus cynodon and then the family Chloridoideae  and then the tribe Cynodonteae.",,QRD25,Relation between dark respiration rate and RubP saturated rate of carboxyla tion at 25 oC,micromols per square meter per second,umol m^-2 s^-1,2,0.01,0.038,0.0125,0.024,Rahimi et al. 2021; Sonawane et al. 2017,,,
,Bermuda grass,Cynodon dactylon,Chloridoideae ,Cynodonteae,cynodon,,"studies which report the Maximum instantaneous water use efficiency as milligrams of carbon dioxide per gram of water  (mg CO2 g^-1 H2O) , and the values reported therein, of Bermuda grass (Cynodon dactylon) under semi-arid environments. If no data for this species exists, please default first to other species of the genus cynodon and then the family Chloridoideae  and then the tribe Cynodonteae.",,WUECMAX,Maximum instantaneous water use efficiency,milligrams of carbon dioxide per gram of water,mg CO2 g^-1 H2O,1,2,5.25,4.5,3.625,Harvard PFT data,,,
,Bermuda grass,Cynodon dactylon,Chloridoideae ,Cynodonteae,cynodon,,"studies which report the minimum instantaneous water use efficiency as milligrams of carbon dioxide per gram of water  (mg CO2 g^-1 H2O) , and the values reported therein, of Bermuda grass (Cynodon dactylon) under semi-arid environments. If no data for this species exists, please default first to other species of the genus cynodon and then the family Chloridoideae  and then the tribe Cynodonteae.",,WUECMIN,minimum instantaneous water use efficiency,milligrams of carbon dioxide per gram of water,mg CO2 g^-1 H2O,1,2,5,2.15,3.5,Harvard PFT data,,,
